,Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
1031,Long Keel,Cutter,13.72 m,10.67 m,4.01 m,123.93 m<sup>2</sup>,1.68 m,"16,148 kg","6,123 kg",19.81,37.92,370.68,FG,,1995,,William Crealock,46.79,1.60,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cabo-rico-45/pdf"">PDF</a>",CABO RICO 45,,Cabo Rico (CR),4JH3,,Yanmar,Diesel,62,946 L,,568 L,,,,,,,
1032,Long Keel,Cutter,17.07 m,12.95 m,4.78 m,139.08 m<sup>2</sup>,1.98 m,"23,269 kg","8,505 kg",17.43,36.55,298.33,FG,Lead,2003,,C. W. Paine,43.64,1.69,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cabo-rico-56/pdf"">PDF</a>",CABO RICO 56,,Cabo Rico Yachts (USA),,,Yanmar,Diesel,,"1,363 L",,757 L,,,,,,,
1033,Long keel w/trans. hung rudder,Fractional  Sloop,4.05 m,,1.82 m,9.48 m<sup>2</sup>,0.55 m,350 kg,105 kg,19.43,29.92,,FG,,1974,,Beneteau,,2.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cabochard-beneteau/pdf"">PDF</a>",CABOCHARD (BENETEAU),,Beneteau (FRA),,,,,,,,,,,,,,,
1034,Fin with rudder on skeg,Cutter,10.84 m,9.04 m,3.56 m,58.71 m<sup>2</sup>,1.45 m,"8,074 kg","2,495 kg",14.89,30.90,304.24,FG,Lead,1974,49,Ted Brewer/Robert Walstrom,33.17,1.79,1.55,13.56 m,4.51 m,11.89 m,4.72 m,,,30.59 m<sup>2</sup>,28.08 m<sup>2</sup>,14.88,14.29 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cabot-36/pdf"">PDF</a>",CABOT 36,,Cabotcraft Industries (CAN),,,,,,,,,,,,,,,
1035,Fin Keel,Masthead Sloop,9.75 m,7.64 m,2.67 m,48.59 m<sup>2</sup>,1.45 m,"5,216 kg","1,701 kg",16.48,32.61,325.44,FG,,1964,10,Philip Rhodes,36.40,1.55,1.53,12.65 m,4.11 m,10.97 m,4.11 m,,,26.02 m<sup>2</sup>,22.58 m<sup>2</sup>,16.49,13.30 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cabrillo-32/pdf"">PDF</a>",CABRILLO 32,,Gulf Marine (USA),,,,,,,,,,,1.95 m,,,,
1036,Keel/Cbrd.,Masthead Sloop,11.00 m,9.80 m,4.00 m,85.94 m<sup>2</sup>,2.70 m,"7,800 kg","3,400 kg",22.30,43.59,231.01,ALU,,1980,,Groupe Graal,25.87,2.04,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cachito-39/pdf"">PDF</a>",CACHITO 39,0.98 m,Chantier naval Rousillonnais (FRA),,1986,Volvo,Diesel,,,,401 L,,,,,,,
1037,Centerboard Dinghy,Fractional  Sloop,5.40 m,,2.05 m,16.70 m<sup>2</sup>,1.25 m,360 kg,88 kg,33.61,24.43,,FG,,1976,,,,2.91,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cadet/pdf"">PDF</a>",CADET,0.23 m,Klepper (GER),,,,,,,,,,,,,,,
1038,Pram (Centerboard),Fractional  Sloop,3.22 m,,1.27 m,5.20 m<sup>2</sup>,0.75 m,54 kg,,37.05,,,Wood/FG,,1947,8000,Jack Holt,,3.39,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cadet-int/pdf"">PDF</a>",CADET (INT),0.17 m,,,,,,,,,,,,,,,,
1039,Swing keel w/outboard rudder,Fractional  Sloop,7.30 m,,2.50 m,32.10 m<sup>2</sup>,1.80 m,"1,200 kg",340 kg,28.97,28.34,,FG,,1998,,Judel/Vrolijk & Co,,2.37,,8.30 m,2.40 m,8.30 m,3.75 m,,,9.95 m<sup>2</sup>,15.56 m<sup>2</sup>,23.02,8.64 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cafe-24/pdf"">PDF</a>",CAFÉ 24,0.65 m,Mikulas Maritime (CZE) / Gemini (POL),,,,Outboard,,,,20 L,,,,,,,
1040,Fin w/bulb & spade rudder,Fractional  Sloop,8.30 m,,2.80 m,40.00 m<sup>2</sup>,1.75 m,"2,600 kg",,21.57,,,FG,Lead,2006,,Henry Martinak/IME Yachting (FRA),,2.06,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cafe-27/pdf"">PDF</a>",CAFÉ 27,,Cafe Yachts (FRA),MD2010,,Volvo,Diesel; Saildrive,10,40 L,1.80 m,80 L,,,,,,,
1041,Fin w/bulb & spade rudder,Fractional  Sloop,8.60 m,7.99 m,2.86 m,43.00 m<sup>2</sup>,1.75 m,"2,650 kg",900 kg,22.90,33.96,144.85,Fg,Lead,2008,,Henry Martinak/IME Yachting (FRA),17.07,2.09,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/cafe-28/pdf"">PDF</a>",CAFÉ 28,,Cafe Yachts (FRA),D1-13,,Volvo,Diesel; Saildrive,13,45 L,1.70 m,40 L,,,,,,,
1042,Fin w/spade rudder,Fractional  Sloop,7.32 m,5.84 m,2.36 m,25.18 m<sup>2</sup>,1.22 m,"1,678 kg",635 kg,18.17,37.84,234.47,FG,Lead,1967,185,C. William Lapworth ,18.12,2.01,2.44,8.38 m,2.97 m,7.92 m,3.20 m,,,12.45 m<sup>2</sup>,12.68 m<sup>2</sup>,18.15,8.89 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-2-24/pdf"">PDF</a>",CAL 2-24,,Jensen Marine (USA),,1971,,,,,,,,,,,,,
1043,Fin w/spade rudder,Masthead Sloop,7.70 m,6.71 m,2.74 m,29.17 m<sup>2</sup>,1.37 m,"2,041 kg",907 kg,18.48,44.44,188.67,FG,,1977,392,C. William Lapworth,16.21,2.18,3.03,10.06 m,3.35 m,8.53 m,2.90 m,,,16.86 m<sup>2</sup>,12.36 m<sup>2</sup>,18.51,10.60 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-2-25/pdf"">PDF</a>",CAL 2-25,,Bangor Punta Marine (USA),,1983,,,,,,79 L,,,,,,,
1044,Fin w/spade rudder,Masthead Sloop,8.10 m,6.73 m,2.82 m,34.84 m<sup>2</sup>,1.30 m,"3,039 kg","1,406 kg",16.93,46.27,277.86,FG,,1974,656,William Lapworth,22.83,1.97,1.92,10.97 m,3.66 m,9.39 m,3.14 m,,,20.07 m<sup>2</sup>,14.74 m<sup>2</sup>,16.92,11.57 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-2-27/pdf"">PDF</a>",CAL 2-27,,Bangor Punta Marine (USA),Atomic 4,1980,Universal,Gas,,95 L,,76 L,,,,,,,
1045,Fin w/spade rudder,Masthead Sloop,8.84 m,7.32 m,2.82 m,39.21 m<sup>2</sup>,1.37 m,"3,629 kg","1,520 kg",16.93,41.88,258.35,FG,Lead,1974,387,William Lapworth,25.04,1.85,2.09,11.28 m,3.76 m,9.65 m,3.73 m,,,21.19 m<sup>2</sup>,18.02 m<sup>2</sup>,16.94,11.89 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-2-29/pdf"">PDF</a>",CAL 2-29,,Jensen Marine (USA),,1978,Farymann,Diesel,12,76 L,,151 L,,,,,,12.50 m,
1046,Fin w/spade rudder,Fractional  Sloop,9.20 m,7.62 m,2.74 m,43.11 m<sup>2</sup>,1.52 m,"4,672 kg","2,041 kg",15.74,43.69,294.29,FG,,1968,204,C. William Lapworth,32.10,1.66,1.69,11.28 m,3.76 m,10.67 m,4.11 m,,,21.19 m<sup>2</sup>,21.95 m<sup>2</sup>,15.75,11.89 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-2-30/pdf"">PDF</a>",CAL 2-30,,Jensen Marine (USA),Atomic 4,1972,Universal,Gas,,,,,,,,,,,
1047,Fin w/spade rudder,Masthead Sloop,10.13 m,7.92 m,3.05 m,44.50 m<sup>2</sup>,1.52 m,"4,309 kg","1,701 kg",17.14,39.47,241.30,FG,Lead,1975,198,C. William Lapworth,24.26,1.89,2.27,12.57 m,4.19 m,10.82 m,3.35 m,,,26.35 m<sup>2</sup>,18.14 m<sup>2</sup>,17.14,13.25 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-2-34/pdf"">PDF</a>",CAL 2-34,,Jensen Marine (USA),4-91,1976,Westerbeke,Diesel,24,95 L,,95 L,,,,,,,
1048,Fin w/spade rudder,Masthead Sloop,13.87 m,11.43 m,3.81 m,72.56 m<sup>2</sup>,1.52 m,"13,608 kg","3,629 kg",13.00,26.67,253.97,FG,,1971,129,C. William Lapworth,40.21,1.61,1.73,14.63 m,5.49 m,12.22 m,5.31 m,,,40.13 m<sup>2</sup>,32.43 m<sup>2</sup>,13.00,15.63 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-2-46/pdf"">PDF</a>",CAL 2-46,,Jensen Marine (USA),,1975,Perkins,Diesel,,"1,022 L",,644 L,,,,,,,
1049,Fin w/transom hung rudder,Fractional  Sloop,6.10 m,5.49 m,2.13 m,18.12 m<sup>2</sup>,1.01 m,885 kg,408 kg,20.03,46.15,149.27,FG,,1961,1945,C. William Lapworth ,12.12,2.24,3.81,6.71 m,2.23 m,7.01 m,3.05 m,,,7.46 m<sup>2</sup>,10.68 m<sup>2</sup>,20.07,7.07 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-20/pdf"">PDF</a>",CAL 20,,Jensen Marine (USA),,1975,,,,,,,,,,,,,
1050,Swing Keel,Fractional  Sloop,6.25 m,5.08 m,2.03 m,18.21 m<sup>2</sup>,1.31 m,499 kg,163 kg,29.49,32.73,106.01,FG,Iron,1969,500,C. William Lapworth,7.61,2.59,5.95,7.01 m,2.59 m,7.01 m,2.59 m,,,9.08 m<sup>2</sup>,9.08 m<sup>2</sup>,29.41,7.47 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-21/pdf"">PDF</a>",CAL 21,0.24 m,Jensen Marine (USA),,1976,,,,,,,,,,,,,
1051,Fin w/transom hung rudder,Fractional  Sloop,6.71 m,5.94 m,2.36 m,20.72 m<sup>2</sup>,1.07 m,953 kg,352 kg,21.81,36.90,126.44,FG,,1984,,C. R. Hunt  Assoc.,10.47,2.42,4.46,7.50 m,2.56 m,7.86 m,2.83 m,,,9.60 m<sup>2</sup>,11.15 m<sup>2</sup>,21.84,7.92 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-22/pdf"">PDF</a>",CAL 22,,Bangor Punta Marine (USA),,1997,,,,,,,,,,,,,
1052,Keel/Cbrd.,Fractional  Sloop,7.43 m,6.11 m,2.44 m,24.25 m<sup>2</sup>,1.37 m,"1,361 kg",,20.13,,166.16,FG,,1958,184,Lapworth,13.60,2.22,3.54,7.77 m,2.59 m,8.08 m,3.51 m,,,10.07 m<sup>2</sup>,14.16 m<sup>2</sup>,20.11,8.19 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-24/pdf"">PDF</a>",CAL 24,0.76 m,Jensen Marine (USA),,1965,,,,,,,,,,,,,
1053,Fin w/spade rudder,Masthead Sloop,7.52 m,6.10 m,2.44 m,24.25 m<sup>2</sup>,1.30 m,"1,497 kg",533 kg,18.89,35.61,184.15,FG,Lead,1983,,C. Raymond Hunt  & Assoc.,14.93,2.15,3.13,9.07 m,2.83 m,7.85 m,2.90 m,,,12.85 m<sup>2</sup>,11.36 m<sup>2</sup>,18.86,9.50 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-24-hunt/pdf"">PDF</a>",CAL 24 (HUNT),,Bangor Punta Marine (USA),,,Yanmar ,Diesel,8,57 L,,45 L,,,,,,,
1054,Fin w/spade rudder,Masthead Sloop,7.62 m,6.10 m,2.44 m,26.57 m<sup>2</sup>,1.22 m,"1,814 kg",771 kg,18.21,42.50,223.21,Fiberglass,Lead,1965,1848,C. William Lapworth,18.01,2.02,2.57,9.08 m,3.05 m,7.62 m,3.35 m,,,13.84 m<sup>2</sup>,12.77 m<sup>2</sup>,18.24,9.58 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-25/pdf"">PDF</a>",CAL 25,,Jensen Marine (USA),,1976,OB,,,,,,,,,,,,
1055,Fin w/spade rudder,Masthead Sloop,8.33 m,6.81 m,2.74 m,32.52 m<sup>2</sup>,1.37 m,"2,449 kg","1,236 kg",18.25,50.46,216.51,FG,,1971,306,William Lapworth,18.76,2.06,2.65,10.52 m,3.66 m,8.46 m,3.12 m,,,19.23 m<sup>2</sup>,13.21 m<sup>2</sup>,18.21,11.13 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-27/pdf"">PDF</a>",CAL 27,,Jensen Marine (USA),,1974,,,,,,45 L,,,,,,,
1056,Fin w/spade rudder,Masthead Sloop,8.53 m,6.86 m,2.74 m,32.70 m<sup>2</sup>,1.37 m,"2,722 kg",998 kg,17.11,36.67,235.16,FG,Lead,1963,347,C. W. Lapworth,20.57,1.98,2.33,10.06 m,3.47 m,8.53 m,3.57 m,,,17.48 m<sup>2</sup>,15.22 m<sup>2</sup>,17.10,10.64 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-28/pdf"">PDF</a>",CAL 28,,Jensen Marine (USA),,1969,,Gas,,68 L,,106 L,,,,,,,
1057,Fin w/spade rudder,Masthead Sloop,8.61 m,7.11 m,3.25 m,37.25 m<sup>2</sup>,1.60 m,"3,266 kg","1,281 kg",17.26,39.24,253.13,FG,,1985,,C. Raymond Hunt & Assoc.,19.16,2.21,2.17,12.12 m,3.44 m,10.41 m,3.15 m,,,20.86 m<sup>2</sup>,16.39 m<sup>2</sup>,17.26,12.60 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-28-2-hunt/pdf"">PDF</a>",CAL 28-2 (HUNT),,Lear Siegler Marine (USA),,,Yanmar,Diesel,18,64 L,,151 L,,,,,,,
1058,Fin w/spade rudder,Masthead Sloop,8.84 m,7.32 m,2.82 m,39.21 m<sup>2</sup>,1.37 m,"3,629 kg","1,520 kg",16.93,41.88,258.35,FG,Lead,1968,624,William Lapworth,25.04,1.85,2.09,11.28 m,3.76 m,9.65 m,3.73 m,,,21.19 m<sup>2</sup>,18.02 m<sup>2</sup>,16.94,11.89 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-29/pdf"">PDF</a>",CAL 29,,Jensen Marine (USA),Atomic 4,1974,Universal,Gas,30,76 L,,76 L,,,,,,12.50 m,
1059,Fin w/spade rudder,Masthead Sloop,8.13 m,7.09 m,2.74 m,31.22 m<sup>2</sup>,1.52 m,"2,359 kg",907 kg,17.96,38.46,184.71,FG,,1983,,William Lapworth,17.73,2.08,3.01,10.06 m,3.35 m,8.53 m,3.35 m,,,16.86 m<sup>2</sup>,14.31 m<sup>2</sup>,17.94,10.60 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-3-27/pdf"">PDF</a>",CAL 3-27,,Bangor Punta Marine (USA),,1985,,,,,,,,,,,,,
1060,Fin w/spade rudder,Masthead Sloop,9.17 m,8.02 m,3.10 m,44.04 m<sup>2</sup>,1.68 m,"4,763 kg","2,268 kg",15.87,47.62,257.38,FG,,1973,135,William Lapworth,26.93,1.86,2.00,12.65 m,4.11 m,10.39 m,3.47 m,,,26.02 m<sup>2</sup>,18.06 m<sup>2</sup>,15.89,13.30 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-3-30/pdf"">PDF</a>",CAL 3-30,,Jensen Marine (USA),Atomic 4,1974,Universal,Gas,,76 L,,76 L,,,,,,,
1061,Fin Keel,Masthead Sloop,9.14 m,7.47 m,3.05 m,39.02 m<sup>2</sup>,1.37 m,"4,354 kg","1,588 kg",14.93,36.46,291.42,FG,Lead,1961,123,Lapworth,26.42,1.89,1.64,10.67 m,3.66 m,9.14 m,4.27 m,,,19.51 m<sup>2</sup>,19.51 m<sup>2</sup>,14.93,11.28 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-30/pdf"">PDF</a>",CAL 30,,Jensen Marine (USA),Atomic 4,1967,Universal,Gas,,76 L,,95 L,,,,,,,
1062,Fin w/spade rudder,Masthead Sloop,9.60 m,7.82 m,3.05 m,45.52 m<sup>2</sup>,1.52 m,"4,159 kg","1,633 kg",17.95,39.26,242.02,FG,Lead,1979,,William Lapworth,24.07,1.91,2.34,12.65 m,4.11 m,10.67 m,3.66 m,,,26.02 m<sup>2</sup>,19.51 m<sup>2</sup>,17.96,13.30 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-31/pdf"">PDF</a>",CAL 31,,Bangor Punta Marine,,1984,Universal,Diesel,16,76 L,,212 L,,,,,,13.84 m,
1063,Fin with rudder on skeg,Masthead Sloop,9.96 m,8.38 m,3.15 m,49.80 m<sup>2</sup>,1.83 m,"4,899 kg","2,177 kg",17.61,44.44,231.83,FG,Lead,1971,191,C. William Lapworth,25.62,1.87,2.42,13.41 m,4.27 m,11.10 m,3.81 m,,,28.61 m<sup>2</sup>,21.15 m<sup>2</sup>,17.60,14.07 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-33/pdf"">PDF</a>",CAL 33,,Bangor Punta,Atomic 4,1973,Universal,Gas,25,125 L,,132 L,,,,,,,
1064,Fin w/spade rudder,Masthead Sloop,10.06 m,8.38 m,3.45 m,51.38 m<sup>2</sup>,1.88 m,"4,899 kg","2,030 kg",18.17,41.44,231.83,FG,Lead,1984,,P. Boyce (Hunt Assoc.),22.58,2.05,2.47,14.02 m,4.04 m,12.34 m,3.73 m,,,28.31 m<sup>2</sup>,23.05 m<sup>2</sup>,18.16,14.59 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-33-hunt/pdf"">PDF</a>",CAL 33 (HUNT),,Lear Siegler Marine,3GM30,1996,Yanmar,Diesel,,91 L,,189 L,,,,,,,
1065,Fin w/spade rudder,Masthead Sloop,10.13 m,7.92 m,3.05 m,46.73 m<sup>2</sup>,1.52 m,"4,309 kg","1,701 kg",18.00,39.47,241.30,FG,Lead,1968,347,C. William Lapworth,24.27,1.89,2.35,11.89 m,4.19 m,10.21 m,4.27 m,,,24.91 m<sup>2</sup>,21.79 m<sup>2</sup>,17.99,12.60 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-34/pdf"">PDF</a>",CAL 34,,Jensen Marine (USA),Atomic 4,1975,Universal,Gas,30,95 L,,87 L,,,,,,,
1066,Fin w/spade rudder,Masthead Sloop,10.13 m,7.92 m,3.05 m,44.50 m<sup>2</sup>,1.52 m,"4,627 kg","2,109 kg",16.35,45.59,259.08,FG,Lead,1977,193,C. William Lapworth,26.05,1.85,2.03,12.57 m,4.19 m,10.82 m,3.35 m,,,26.35 m<sup>2</sup>,18.14 m<sup>2</sup>,16.34,13.25 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-34-iii/pdf"">PDF</a>",CAL 34-III,,Jensen Marine (USA),4-91,1979,Westerbeke,Diesel w/Vdrive,25,129 L,,227 L,,,,,,,
1067,Fin w/spade rudder,Masthead Sloop,10.69 m,8.76 m,3.35 m,56.39 m<sup>2</sup>,1.52 m,"5,897 kg","2,359 kg",17.63,40.00,244.22,FG,Lead,1979,,C. William Lapworth,26.89,1.87,2.28,14.17 m,4.57 m,12.34 m,3.81 m,,,32.40 m<sup>2</sup>,23.52 m<sup>2</sup>,17.48,14.89 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-35-1979/pdf"">PDF</a>",CAL 35 (1979),,Jensen Marine (USA),,,Universal,Diesel,,125 L,,341 L,,,,,,,
1068,Fin w/spade rudder,Masthead Sloop,10.69 m,8.76 m,3.35 m,50.73 m<sup>2</sup>,1.42 m,"6,804 kg","2,268 kg",14.42,33.33,281.79,FG,Iron,1973,120,C. William Lapworth,31.02,1.79,1.67,12.80 m,4.27 m,10.97 m,4.27 m,,,27.31 m<sup>2</sup>,23.41 m<sup>2</sup>,14.42,13.49 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-35-cruise/pdf"">PDF</a>",CAL 35 CRUISE,,Cal-Boats (USA),4-107,1974,Perkins,Diesel,50,,,,,,,,,,
1069,Fin w/spade rudder,Masthead  Ketch,10.69 m,8.76 m,3.35 m,56.02 m<sup>2</sup>,1.42 m,"6,804 kg","2,268 kg",15.92,33.33,281.79,FG,,1973,,C. William Lapworth,31.02,1.79,1.59,12.80 m,4.27 m,10.97 m,3.76 m,,,27.31 m<sup>2</sup>,20.62 m<sup>2</sup>,13.62,13.49 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-35-cruise-ketch/pdf"">PDF</a>",CAL 35 CRUISE KETCH,,Jensen Marine (USA),,,,,,,,,,,5.49 m,1.94 m,,,
1070,Fin w/spade rudder,Masthead Sloop,10.82 m,8.23 m,3.15 m,55.74 m<sup>2</sup>,1.74 m,"5,080 kg","2,041 kg",19.24,40.18,254.03,FG,Lead,1966,,C. William Lapworth,26.12,1.85,2.34,12.80 m,4.42 m,11.06 m,4.97 m,,,28.29 m<sup>2</sup>,27.48 m<sup>2</sup>,19.25,13.54 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-36/pdf"">PDF</a>",CAL 36,,Jensen Marine (USA),Atomic 4,,Universal,Gas,30,114 L,,303 L,,,,,,,
1071,Fin with rudder on skeg,Masthead Sloop,11.79 m,9.53 m,3.56 m,68.56 m<sup>2</sup>,1.83 m,"6,622 kg","2,994 kg",19.84,45.21,213.58,FG (solid laminate),Lead,1970,29,C. William Lapworth,25.56,1.91,2.85,15.24 m,5.18 m,12.73 m,4.57 m,,,39.48 m<sup>2</sup>,29.09 m<sup>2</sup>,19.84,16.10 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-39/pdf"">PDF</a>",CAL 39,,Jensen Marine (USA),4108,1971,Perkins,Diesel,,132 L,,242 L,,,,,,,
1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL 39 (HUNT/O&#039;DAY) ,,,,,,,,,,,,,,,,,
1073,Fin w/spade rudder,Masthead Sloop,11.89 m,9.78 m,3.66 m,66.80 m<sup>2</sup>,2.03 m,"7,711 kg","3,175 kg",17.46,41.18,229.88,FG w/balsa deck,Lead,1978,,C. William Lapworth,28.10,1.87,2.42,15.24 m,5.08 m,13.41 m,4.19 m,,,38.72 m<sup>2</sup>,28.10 m<sup>2</sup>,17.47,16.06 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-39-mk-ii-1-147/pdf"">PDF</a>",CAL 39 MK II (1-147),,Jensen Marine/Bangor Punta,4108,1982,Perkins,Diesel,50,189 L,,341 L,,,,,,,
1074,Fin w/spade rudder,Masthead Sloop,11.89 m,9.78 m,3.66 m,66.80 m<sup>2</sup>,2.06 m,"8,618 kg","3,175 kg",16.22,36.84,256.92,FG,Lead,1983,,C. William Lapworth,31.41,1.80,2.04,15.24 m,5.08 m,13.41 m,4.19 m,,,38.72 m<sup>2</sup>,28.10 m<sup>2</sup>,16.22,16.06 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-39-mk-iii/pdf"">PDF</a>",CAL 39 MK III,,Bangor Punta,,,Universal or Pathfinder,Diesel,44,163 L,,473 L,,,,,,,
1075,Fin w/spade rudder,Masthead Sloop,11.99 m,9.24 m,3.35 m,65.03 m<sup>2</sup>,1.70 m,"6,804 kg","2,722 kg",18.48,40.00,240.01,FG,Lead,1963,108,C. William Lapworth,28.79,1.79,2.41,14.02 m,4.62 m,12.19 m,5.33 m,,,32.41 m<sup>2</sup>,32.52 m<sup>2</sup>,18.45,14.76 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-40/pdf"">PDF</a>",CAL 40,,Jensen Marine (USA),4108,1971,Perkins,Diesel,50,,,,,,,,,,
1076,Fin w/spade rudder,Masthead Sloop,13.00 m,9.91 m,3.51 m,77.30 m<sup>2</sup>,1.98 m,"9,072 kg","3,629 kg",18.14,40.00,260.09,FG,Lead,1971,14,C. William Lapworth,33.62,1.70,2.18,15.85 m,5.23 m,13.84 m,5.18 m,,,41.45 m<sup>2</sup>,35.87 m<sup>2</sup>,18.14,16.69 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-43/pdf"">PDF</a>",CAL 43,,Jensen Marine (USA),,1972,Universal,Gas,,151 L,,265 L,,,,,,,
1077,Fin with rudder on skeg,Cutter,13.26 m,11.05 m,4.11 m,79.90 m<sup>2</sup>,1.98 m,"11,476 kg","4,672 kg",16.03,40.71,237.11,FG,Lead,1984,21,Raymond Hunt & Assoc.,31.79,1.84,2.20,16.46 m,5.11 m,14.63 m,5.18 m,,,42.02 m<sup>2</sup>,37.90 m<sup>2</sup>,16.03,17.23 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-44/pdf"">PDF</a>",CAL 44,,Bangor Punta Marine,W58,,Westerbeke,Diesel,58,303 L,,757 L,,,,,,,
1078,Fin w/spade rudder,Masthead  Ketch,13.87 m,11.43 m,3.81 m,79.43 m<sup>2</sup>,1.52 m,"13,608 kg","3,629 kg",14.23,26.67,253.97,FG,,1975,,C. William Lapworth,40.21,1.61,1.64,14.63 m,5.49 m,12.22 m,4.65 m,,,40.13 m<sup>2</sup>,28.39 m<sup>2</sup>,12.27,15.63 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-46-iii-1975/pdf"">PDF</a>",CAL 46 III (1975),,Jensen Marine (USA),,,Perkins,Diesel,,,,,,,7.62 m,2.87 m,,,
1079,Fin w/spade rudder,Masthead Sloop,14.55 m,10.67 m,3.66 m,96.71 m<sup>2</sup>,1.98 m,"11,340 kg","4,309 kg",19.56,38.00,260.31,FG,Lead,1966,24,C. William Lapworth,36.36,1.64,2.30,16.76 m,5.79 m,14.69 m,6.55 m,,,48.54 m<sup>2</sup>,48.14 m<sup>2</sup>,19.55,17.74 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-48/pdf"">PDF</a>",CAL 48,,Jensen Marine (USA),4-167M,1970,Perkins,Diesel,,227 L,,416 L,,,,,,,
1080,Fin w/spade rudder,Masthead Sloop,9.13 m,7.75 m,3.15 m,36.05 m<sup>2</sup>,1.40 m,"3,175 kg","1,238 kg",17.02,39.00,190.25,FG,Iron,1981,,Ron Holland,18.01,2.16,2.83,11.58 m,3.62 m,9.91 m,3.05 m,,,20.97 m<sup>2</sup>,15.10 m<sup>2</sup>,17.03,12.14 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-92/pdf"">PDF</a>",CAL 9.2,,Cal Boats (USA),,1984,Universal,Diesel,11,42 L,,79 L,,,,,,12.88 m,
1081,Fin w/spade rudder,Masthead Sloop,9.13 m,7.75 m,3.15 m,36.14 m<sup>2</sup>,1.70 m,"3,175 kg","1,238 kg",17.06,39.00,190.25,FG,Lead,1981,,Ron Holland,18.01,2.16,2.83,11.58 m,3.62 m,9.91 m,3.05 m,,,20.97 m<sup>2</sup>,15.10 m<sup>2</sup>,17.03,12.14 m,"<a class="""" href=""https://sailboatdata.com/sailboat/cal-92-r/pdf"">PDF</a>",CAL 9.2 R,,Cal Boats,,,,,,,,,,,,,,,
